sku,model,mae,mse,rmse,mape
SKU_01,moving_avg_7,4.33078231292517,28.895238095238096,5.375429108009713,25.208608045679583
SKU_01,naive,5.576190476190476,50.2,7.085195833567341,31.73463717060946
SKU_01,ridge_recursive,6.979140203646315,73.28921699380848,8.560912158982154,42.46434660686648
SKU_02,moving_avg_7,25.70926870748299,1026.1142006802722,32.03301735210519,13.117004831327625
SKU_02,naive,33.12321428571428,1861.7541666666666,43.148049395849476,16.69992382918476
SKU_02,ridge_recursive,21.86186283375039,862.9214523852743,29.37552471676505,10.680853147819407
SKU_03,moving_avg_7,1746.4824829931972,4362187.990136054,2088.585164683512,17.47399336401155
SKU_03,naive,2128.4630952380953,7166937.7547619045,2677.113698512244,20.986879952056437
SKU_03,ridge_recursive,851.8079403119648,1376406.5414902235,1173.2035379635638,8.460247735915857
SKU_04,moving_avg_7,237.83588435374148,137090.89846938773,370.2578810361607,12.546886001680004
SKU_04,naive,256.8654761904762,187760.28452380953,433.3131483394077,13.3073684289476
SKU_04,ridge_recursive,238.15880295409895,151109.31101012923,388.72781095533827,13.350509099996097
SKU_05,moving_avg_7,112.40178571428571,30029.502636054425,173.29022660281342,26.330081458929232
SKU_05,naive,151.37916666666666,51065.141071428574,225.9759745447037,30.439897155600974
SKU_05,ridge_recursive,123.88070880201963,34534.47515203893,185.83453702699865,34.63522164645805
